Feature,F_score,p_value
PL_AAIndex1_353,93.03238354230507,7.53402496494029e-112
PL_AAIndex1_527,92.59000331883954,1.8152800864764552e-111
PL_AAIndex1_214,92.19747756002138,3.968754339206161e-111
PL_AAIndex1_9,92.0549341649276,5.2748854073168114e-111
PL_AAIndex1_396,91.85930191464975,7.797576620707725e-111
PL_AAIndex1_313,91.7384311506959,9.929680888803047e-111
PL_AAIndex1_386,91.71717966262443,1.0360956874362484e-110
PRIN1,91.5838221907812,1.3530752409446908e-110
PL_AAIndex1_501,91.55862824768487,1.423089710069099e-110
PL_AAIndex1_427,91.5508731240787,1.445364251655254e-110
PL_AAIndex1_526,91.52158803652209,1.5326777588145996e-110
PL_AAIndex1_354,90.73370558153255,7.455095106846319e-110
PL_AAIndex1_326,90.3587800642387,1.586741594787267e-109
PL_AAIndex1_389,90.00834576097337,3.219543253479238e-109
PL_AAIndex1_86,89.96531847253142,3.5121117180765253e-109
PL_AAIndex1_212,89.7058399422286,5.937084932093291e-109
PL_AAIndex1_209,89.62922391578316,6.933681515634009e-109
PL_AAIndex1_210,89.51534813826669,8.73343303414219e-109
PL_AAIndex1_380,89.36440129085832,1.1861444716972245e-108
ProtFP1,89.25664848756514,1.4761108867614284e-108
KF4,89.19893199090521,1.6596630111841967e-108
PL_AAIndex1_508,89.19893199090521,1.6596630111841967e-108
PL_AAIndex1_476,88.96343757400524,2.678481386550491e-108
PL_AAIndex1_147,88.69471932507437,4.628538012265643e-108
PL_AAIndex1_34,88.58544299515307,5.783057709493396e-108
PL_AAIndex1_320,88.47639579338308,7.223238991001953e-108
PL_AAIndex1_67,88.1875915724765,1.3025977446575033e-107
PL_AAIndex1_478,87.75171333944637,3.1779325882114744e-107
PL_CTDC_26,87.67202129730826,3.741726310100047e-107
PL_AAIndex1_509,87.61640067080664,4.193683734023004e-107
PL_AAIndex1_241,87.44545496910763,5.955352227857972e-107
PL_AAIndex1_486,87.30448100525037,7.954878236485789e-107
PL_AAIndex1_130,86.9003248668989,1.8267266966829156e-106
PL_AAIndex1_383,86.21451840134601,7.52238061922409e-106
PL_AAIndex1_388,86.11545864070956,9.233250820005275e-106
PL_AAIndex1_530,86.03185555437283,1.0977641467953803e-105
PL_AAIndex1_197,85.97364043238807,1.2384082598173224e-105
PL_AAIndex1_238,85.71889711400173,2.0998232706115114e-105
PL_AAIndex1_426,85.39920712275337,4.078250240001186e-105
E1,85.39617212171925,4.104058068690285e-105
PL_AAIndex1_518,84.97600676999667,9.839686039702332e-105
PL_AAIndex1_463,84.97256288414019,9.910557104007241e-105
PL_AAIndex1_510,84.94130006365252,1.0577790130423892e-104
PL_AAIndex1_399,84.84703111517695,1.2875185466120216e-104
Z1,84.77858526698918,1.485117653178373e-104
PL_AAIndex1_128,84.57610520291003,2.2664578675507306e-104
PL_AAIndex1_126,84.09789552563643,6.163803532619184e-104
PL_AAIndex1_3,84.08534241447227,6.328078604556496e-104
PL_AAIndex1_35,84.06833257893882,6.557705200232054e-104
PL_AAIndex1_484,84.02527044181518,7.177090860041826e-104
PL_AAIndex1_102,83.9062497807601,9.211690422213611e-104
PL_AAIndex1_297,83.50606009607189,2.1348897570969536e-103
PL_AAIndex1_507,83.4919942280164,2.1989849396673341e-103
PL_AAIndex1_148,83.25967334512886,3.585674629674831e-103
PL_AAIndex1_55,82.82997599846176,8.874384641272081e-103
PL_CTDC_15,82.74789266187155,1.055455351093369e-102
PL_CTDC_37,82.74789266187155,1.055455351093369e-102
PL_AAIndex1_68,82.56781442041131,1.5444553065271154e-102
PL_AAIndex1_519,82.33685279143059,2.518262857275386e-102
PL_AAIndex1_140,82.21344427270346,3.2709793312033565e-102
PL_AAIndex1_119,82.20763039516015,3.3115449881175867e-102
PL_CTDC_3,82.01882974264623,4.9427219873563314e-102
PL_CTDC_11,82.01882974264616,4.942721987356894e-102
PL_AAIndex1_57,81.99722194819124,5.1747077865786506e-102
PL_AAIndex1_100,81.94435960286135,5.789347167308923e-102
PL_AAIndex1_425,81.8720864664459,6.749910134342704e-102
PL_AAIndex1_367,81.35421131631449,2.0318835223823454e-101
PL_AAIndex1_506,81.31280923159876,2.2193633514006908e-101
PL_AAIndex1_460,81.24065415303335,2.5885269672247066e-101
PL_AAIndex1_512,81.22128157209927,2.697734511169287e-101
PL_AAIndex1_522,80.89048936212558,5.467382642985774e-101
PL_AAIndex1_184,80.84483761159376,6.027923127803912e-101
PL_AAIndex1_364,80.83786744812554,6.118439455109497e-101
PL_AAIndex1_513,80.68441058659221,8.496171181862923e-101
PL_AAIndex1_217,80.66422121409279,8.871402039555344e-101
PL_AAIndex1_525,80.52012566363585,1.2078694526440806e-100
PL_AAIndex1_524,80.49719057749837,1.268714508822132e-100
PL_CTDC_9,80.4818894339507,1.3110076286414676e-100
PL_AAIndex1_517,80.05835500989433,3.2535092884144563e-100
PL_AAIndex1_2,79.93353875429209,4.2548768604598607e-100
PL_AAIndex1_113,79.17287519276985,2.193234713609886e-99
PL_AAIndex1_233,79.09015827834894,2.6226482376217746e-99
PL_AAIndex1_146,79.046354414259,2.883233914617019e-99
PL_AAIndex1_208,78.91905795604379,3.797518151845406e-99
